,name,tp,fp,fn,avg_area,avg_circularity
0,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,102,21,18,135.8617886178862,0.649909692601626
0,BKO-428-S42-Iba-Syn-Cortex-10x-F3a_XY1561767178_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,127,6,28,134.5639097744361,0.6879530293233083
0,BKO-428-S72-Iba-Syn-Cortex-10x-F2a_XY1562015876_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,149,10,23,131.42138364779873,0.6949152508176102
0,BKO-442-S44-Iba-Syn-Cortex-10x-F1a_XY1562190389_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,109,3,27,134.20535714285714,0.7646348148214285
0,BKO-443-S57-Iba-Syn-Cortex-10x-F1a_XY1562017121_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,90,6,31,146.16666666666666,0.66415994
0,BKO-443-S72-Iba-Syn-Cortex-10x-F3a_XY1562017872_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,114,0,27,138.71929824561403,0.7340739113157896
0,BKO-460-S57-Iba-Syn-Cortex-10x-F1a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,83,2,27,137.16470588235293,0.6989406142352941
0,BKO-462-S42-Iba-Syn-Cortex-10x-F1a_XY1562191558_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,95,2,22,132.51546391752578,0.7442737167010308
0,BKO-462-S57-Iba-Syn-Cortex-10x-F1aq_XY1562191668_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,81,4,45,129.9764705882353,0.7583297176470589
0,BKO-462-S72-Iba-Syn-Cortex-10x-F3a_XY1562191900_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,63,1,60,129.9375,0.7562499862499998
