,class,precision,recall,F1,accuracy,MAE,MPE,F1_geno_ttest_pval,mean_F1_ev0,mean_F1_ev1,precision_geno_ttest_pval,recall_geno_ttest_pval
0,classifier1,0.9571045576407506,0.5404996214988645,0.6908563134978231,0.5277161862527716,57.5,0.043527630582891746,0.38327278754451755,0.7075659141627251,0.6602727369352179,0.6094281862283489,0.35084432262223625
0,classifier10,0.9499072356215214,0.7751703255109765,0.8536890370987911,0.7447272727272727,25.3,0.018395155185465556,0.33106472586696933,0.8704824797995536,0.8214429177058445,0.20401702689856208,0.1635360074303876
0,classifier11,0.9524262607040913,0.7577592732778198,0.8440134907251263,0.7301239970824216,27.0,0.02043906131718395,0.25784643499393645,0.8642096142253622,0.8072553295457844,0.2945328527464866,0.14145393329198386
0,classifier12,0.9500959692898272,0.7494322482967449,0.8379179009733388,0.721048798252003,28.1,0.021120363361090085,0.28562302690041436,0.8570296297326729,0.8010362349516571,0.2735173504435166,0.15603773861390233
0,classifier13,0.9513888888888888,0.7259651778955337,0.8235294117647058,0.7,31.3,0.023694171082513246,0.3277097734145703,0.8414264873823016,0.7883208306024738,0.2628670521418197,0.20269715103868116
0,classifier14,0.9584569732937686,0.7335352006056018,0.8310463121783876,0.7109317681584739,31.0,0.023467070401211203,0.25998061559913,0.852911296343918,0.7911945068562408,0.2488296045135586,0.16317086770530778
0,classifier15,0.9599589322381931,0.7077971233913701,0.8148148148148148,0.6875,34.7,0.026267978803936408,0.30737613560577054,0.8345450106784167,0.7786919134023883,0.3459167382112402,0.22323632345203168
0,classifier16,0.9569672131147541,0.7070401211203634,0.8132346538963866,0.6852531181217901,34.5,0.026116578349735048,0.36085827172625823,0.830552178854559,0.7777155444788975,0.20493470702228386,0.23992656050494002
0,classifier17,0.9586349534643226,0.7017411052233157,0.8103146853146854,0.6811168258633358,35.4,0.026797880393641182,0.33374824766367767,0.8286448940508826,0.7746226039458814,0.25061427184405044,0.22563330006134338
0,classifier18,0.962,0.7282361847085541,0.8289530374838432,0.7078734363502576,32.1,0.024299772899318697,0.38165398744847967,0.8460841256895876,0.7952290210207275,0.22207297076648938,0.270211035516223
0,classifier19,0.9588235294117647,0.7403482210446631,0.8355403673643742,0.7175348495964784,30.1,0.022785768357305072,0.3868235033362272,0.8509591444130307,0.8042525434563899,0.2174935822495275,0.24435215985065067
0,classifier2,0.9169491525423729,0.8190764572293717,0.8652538984406237,0.7625088090204369,19.1,0.010673732021196064,0.4891127867324898,0.8752563792465609,0.8457257318900326,0.09417966116729154,0.13049253890595583
0,classifier20,0.9560975609756097,0.7418622255866768,0.8354646206308611,0.7174231332357247,29.6,0.022407267221801665,0.3284354348249771,0.8545703906772253,0.7989243303923935,0.23794412612158988,0.20739147363222912
0,classifier21,0.9550669216061185,0.7562452687358062,0.844106463878327,0.7302631578947368,27.5,0.020817562452687358,0.30100883777429205,0.8640770732246384,0.8086041863416737,0.2589406159126884,0.18653095092669672
0,classifier22,0.957843137254902,0.7395912187736563,0.8346860316104229,0.716275659824047,30.1,0.022785768357305072,0.3901043108385885,0.8503244430095096,0.803505200711561,0.2075388138711405,0.25837648393212465
0,classifier23,0.9588638589618022,0.74110522331567,0.8360375747224594,0.7182685253118122,30.0,0.022710068130204392,0.3976022437230508,0.8509157365005816,0.805682704479558,0.18854267406030678,0.2662635531215676
0,classifier24,0.9573412698412699,0.7305071915215746,0.8286818376985832,0.7074780058651027,31.3,0.023694171082513246,0.3759077589975538,0.8444520137818706,0.7973450168219317,0.19601906964234037,0.24664916217220406
0,classifier25,0.9564777327935222,0.7153671461014383,0.8185361628410567,0.6928152492668622,33.3,0.025208175624526874,0.34445914278052187,0.837993611669034,0.7808717963815293,0.22094262790493488,0.2438114509304809
0,classifier3,0.9428571428571428,0.2498107494322483,0.3949730700179533,0.24608501118568232,97.1,0.07350492051476154,0.9335950338303202,0.3932366998081284,0.3968962645593703,0.53901967080512,0.8704909130874406
0,classifier4,0.9207419898819561,0.8266464799394398,0.8711607499002793,0.7717314487632508,17.9,0.010219530658591975,0.39526911022939104,0.8835838373154024,0.8463178239129897,0.14699252367911966,0.13627272206087934
0,classifier5,0.9455216989843028,0.7751703255109765,0.8519134775374377,0.7420289855072464,25.2,0.01801665404996215,0.32397944768004294,0.8703283348051037,0.8180464773372611,0.17265704081684694,0.16097713107511527
0,classifier6,0.9518768046198267,0.7486752460257381,0.8381355932203391,0.7213712618526623,28.8,0.021347464042392128,0.301349029399743,0.8566470417729901,0.8024611624093876,0.31064839421158047,0.1926915805498593
0,classifier7,0.9504289799809342,0.7547312641937926,0.8413502109704641,0.7261471230881282,27.8,0.020590461771385314,0.22368039017801675,0.8639011299995725,0.8016120088994227,0.28265793082158336,0.12386830041765007
0,classifier8,0.9485018726591761,0.7668433005299016,0.8480535789033068,0.7361918604651163,25.9,0.01915215745647237,0.2417327698761562,0.8690726933408006,0.8119468159856957,0.21521686222140035,0.11970411295903799
0,classifier9,0.950281425891182,0.7668433005299016,0.8487641390867197,0.7372634643377002,26.1,0.019303557910673733,0.2882717772047011,0.868316333170497,0.8133612463964983,0.23812963786633748,0.15726033243330517
