 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0001-0009,62,0.63041836,0.07247119,0.56069075,0.50175333,0.87429601,398.93548387,10.04838710,398.94337971,10.08139744,36.87005769,394,3,11,12,14.10001423,5.59863632,127.20667565,0.57313103,14.86606875,39.08593833,0.63758731,0.49361235,0.52889272,100,39.08593833,394,4,132.27368901,7.37563557,2.51847297,0.39706600,0.76073620,-3.403E38,3.4e38,1
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0002-0022,67,0.63766461,0.06087158,0.64507609,0.50897890,0.79573512,55.48507463,22.75373134,55.42221431,22.70601445,34.62741700,51,17,11,10,12.41972796,6.86867295,133.47092740,0.70217356,14.21267040,42.72352874,0.64311475,0.10364744,-0.08609221,100,42.72352874,51,18,140.71059314,8.32239720,1.80816994,0.55304536,0.84810127,-3.403E38,3.4e38,1
3,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0003-0041,74,0.65811116,0.10125844,0.55053868,0.50008756,0.92354614,605.40540541,39.45945946,605.27341362,39.20197591,44.52691193,600,34,10,14,12.00217811,7.85021897,114.17612096,0.46902547,14.86606875,48.70022577,0.64372444,0.49857324,-0.42907131,100,48.70022577,604,34,109.65382406,9.60969062,1.52889724,0.65406620,0.75126904,-3.403E38,3.4e38,1
4,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0004-0062,82,0.65355038,0.07997289,0.67491553,0.50083733,0.83465022,1256.25609756,62.04878049,1256.28207218,61.91544747,39.94112550,1252,55,9,15,14.73335871,7.08634363,70.86897271,0.64592652,15.81138830,53.59113109,0.66140831,-0.22833691,-0.61210930,100,53.59113109,1253,70,71.56505118,8.73128250,2.07911999,0.48097272,0.81188119,-3.403E38,3.4e38,1
5,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0005-0077,84,0.72215922,0.10992824,0.71501535,0.50094229,0.95199335,609.79761905,77.36904762,609.78341124,77.39409109,33.21320344,605,72,10,11,11.05050100,9.67848623,72.92756736,0.95690234,12.08304597,60.66137481,0.71861291,0.10125648,-0.66537095,100,60.66137481,607,83,65.55604522,10.00000000,1.14175923,0.87584140,0.91803279,-3.403E38,3.4e38,1
6,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0006-0098,65,0.63959256,0.09008665,0.50252052,0.50183910,0.85072571,764.28461538,99.02307692,764.30327320,99.00059028,35.79898987,759,92,10,12,12.74359268,6.49428874,128.74875717,0.63735541,15.00000000,41.57351643,0.63187319,0.30346239,-0.73488575,100,41.57351643,760,92,126.86989765,7.60263112,1.96227689,0.50961208,0.80745342,-3.403E38,3.4e38,1
7,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0007-0128,91,0.71375947,0.11645246,0.56603443,0.50068396,0.92422116,505.73076923,128.81868132,505.71562332,128.78479555,35.21320344,500,123,11,11,12.98038364,8.92614593,133.23599779,0.92223199,14.21267040,64.95211220,0.72227859,0.02563851,-0.92139623,100,64.95211220,502,123,129.28940686,9.89949494,1.45419801,0.68766426,0.91919192,-3.403E38,3.4e38,1
8,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0008-0143,83,0.71836492,0.10281291,0.66938125,0.50264913,0.92317545,619.01807229,143.82530120,618.95775663,143.78296019,36.62741700,614,137,10,13,12.51569492,8.44370871,106.13391474,0.77745520,13.41640786,59.62428832,0.70345777,0.09304937,-0.70005758,100,59.62428832,617,138,116.56505118,9.54494014,1.48225091,0.67464961,0.84693878,-3.403E38,3.4e38,1
9,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0009-0146,71,0.62991726,0.06615743,0.65019022,0.50612026,0.79539013,1141.68309859,146.16197183,1141.70352905,146.19394617,34.28427125,1136,140,11,12,14.19982520,6.36627609,126.57533835,0.75906395,14.42220510,44.72412515,0.63129252,0.33031416,-0.06734581,100,44.72412515,1138,140,123.69006753,7.21110255,2.23047587,0.44833482,0.83529412,-3.403E38,3.4e38,1
10,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0010-0162,76,0.71161386,0.09626015,0.71066846,0.50261164,0.94098651,444.50000000,162.59210526,444.49442420,162.58632119,32.04163056,440,157,10,11,11.25539031,8.59732117,120.17642962,0.93023835,12.08304597,54.08265334,0.71015596,-0.02324835,0.08915085,100,54.08265334,442,157,114.44395478,9.19238816,1.30917411,0.76384034,0.89940828,-3.403E38,3.4e38,1
