,name,tp,fp,fn,avg_area,avg_circularity
0,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,99,22,21,121.04132231404958,0.6857895990909091
0,BKO-428-S42-Iba-Syn-Cortex-10x-F3a_XY1561767178_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,125,7,30,118.81818181818181,0.7066708553787878
0,BKO-428-S72-Iba-Syn-Cortex-10x-F2a_XY1562015876_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,149,5,23,114.87662337662337,0.7149319336363635
0,BKO-442-S44-Iba-Syn-Cortex-10x-F1a_XY1562190389_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,107,3,29,124.97272727272727,0.7957890741818182
0,BKO-443-S57-Iba-Syn-Cortex-10x-F1a_XY1562017121_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,85,6,36,127.17582417582418,0.7187699895604395
0,BKO-443-S72-Iba-Syn-Cortex-10x-F3a_XY1562017872_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,110,0,31,127.30909090909091,0.7445829615454544
0,BKO-460-S57-Iba-Syn-Cortex-10x-F1a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,80,2,30,127.59756097560975,0.7239847993902438
0,BKO-462-S42-Iba-Syn-Cortex-10x-F1a_XY1562191558_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,95,2,22,120.91752577319588,0.767698226597938
0,BKO-462-S57-Iba-Syn-Cortex-10x-F1aq_XY1562191668_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,80,4,46,119.60714285714286,0.7890513079761906
0,BKO-462-S72-Iba-Syn-Cortex-10x-F3a_XY1562191900_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.png,60,1,63,122.65573770491804,0.7916876708196721
